,id,title,pressing_year,album_year,country,artist,artist_id,format,lp_quantity,pressing,description,genres,styles,wants,haves,rating,lowest_sold_usd,median_sold_usd,highest_sold_usd,url
0,30433649,Something About Us (Love Theme From Interstella 5555),2024,2003,"USA, Canada & Europe",['Daft Punk'],[1289],Vinyl,1,['Standard Black'],"['12""', '45 RPM', 'Record Store Day', 'Limited Edition', 'Reissue']",['Electronic'],"['House', 'Breaks', 'Disco']",813,3025,4.7,21.73,45.59,98.88,https://www.discogs.com/release/30433649-Daft-Punk-Something-About-Us-Love-Theme-From-Interstella-5555
1,21511162,Sometimes I Might Be Introvert,2021,2021,UK,['Little Simz'],[3887166],Vinyl,2,['Clear [Milky Clear]'],"['LP', 'Album', 'Limited Edition']",['Hip Hop'],['Conscious'],528,1586,4.5,21.74,34.77,130.43,https://www.discogs.com/release/21511162-Little-Simz-Sometimes-I-Might-Be-Introvert
2,30436742,Pink Pony Club,2024,2020,US,['Chappell Roan'],[6360106],Vinyl,1,['Pink'],"['7""', '45 RPM', 'Record Store Day', 'Single', 'Limited Edition']",['Pop'],,2563,954,4.5,18.93,182.0,299.95,https://www.discogs.com/release/30436742-Chappell-Roan-Pink-Pony-Club
3,5189023,The Hissing Of Summer Lawns,1975,1975,US,['Joni Mitchell'],[90233],Vinyl,1,['PRC'],"['LP', 'Album']","['Jazz', 'Rock', 'Folk, World, & Country']","['Acoustic', 'Fusion', 'Contemporary Jazz']",244,1302,4.1,4.95,10.04,20.0,https://www.discogs.com/release/5189023-Joni-Mitchell-The-Hissing-Of-Summer-Lawns
4,28763101,Bewitched (Spooky Edition),2023,2023,Worldwide,['Laufey'],[10016131],Vinyl,1,"['Orange, Pumpkin-shaped']","['12""', '45 RPM', 'Shape', 'EP', 'Special Edition']",['Jazz'],['Contemporary Jazz'],564,716,4.5,40.0,68.0,85.0,https://www.discogs.com/release/28763101-Laufey-Bewitched-Spooky-Edition
5,27141000,1989,2023,2014,US,['Taylor Swift'],[1124645],Vinyl,2,['Vantiva Pressing'],"['LP', 'Album', 'Reissue']",['Pop'],"['Synth-pop', 'Ballad']",251,2410,4.8,15.0,23.99,29.99,https://www.discogs.com/release/27141000-Taylor-Swift-1989
6,11256175,Reputation,2017,2017,USA & Europe,['Taylor Swift'],[1124645],Vinyl,2,['Standard Black'],"['LP', 'Album', 'Picture Disc']","['Electronic', 'Pop']","['Dance-pop', 'Dark Electro', 'Synth-pop']",8399,40969,4.6,15.0,40.5,54.24,https://www.discogs.com/release/11256175-Taylor-Swift-Reputation
7,29951371,Eras Of Us,2024,2024,USA & Europe,['Fletcher'],[3931647],Vinyl,1,['Standard Black'],"['7""', '45 RPM', 'Single']",['Pop'],['Bubblegum'],36,217,5.0,,,,https://www.discogs.com/release/29951371-Fletcher-Eras-Of-Us
8,30214778,In Search Of The Antidote ,2024,2024,US,['Fletcher'],[3931647],Vinyl,1,['Red & Clear'],['LP'],['Pop'],,24,225,4.6,,,,https://www.discogs.com/release/30214778-Fletcher-In-Search-Of-The-Antidote-
9,30818067,Girls Girls Girls / Cherry,2024,2024,US,['Fletcher'],[3931647],Vinyl,1,['Translucent Red'],"['7""', '45 RPM', 'Single', 'Limited Edition', 'Special Edition']",['Pop'],,31,241,4.5,58.99,58.99,58.99,https://www.discogs.com/release/30818067-FLETCHER-Girls-Girls-Girls-Cherry
10,26927123,Girl Of My Dreams,2023,2022,US,['Fletcher'],[3931647],Vinyl,2,['Yellow [Lemon Yellow]'],"['LP', 'Album', 'Deluxe Edition', 'Limited Edition']",['Pop'],"['Indie Pop', 'Vocal']",195,923,4.6,21.0,30.0,86.0,https://www.discogs.com/release/26927123-Fletcher-Girl-Of-My-Dreams
11,27059409,Finding Fletcher,2023,2016,US,['Fletcher'],[3931647],Vinyl,1,['Blue [Translucent]'],"['12""', '45 RPM', 'EP', 'Reissue']","['Electronic', 'Pop']",['Electro'],100,502,4.6,16.95,18.85,60.0,https://www.discogs.com/release/27059409-Fletcher-Finding-Fletcher
12,27059247,You Ruined New York City For Me,2023,2019,US,['Fletcher'],[3931647],Vinyl,1,['Red'],"['12""', '45 RPM', 'EP', 'Reissue']",['Pop'],"['Indie Pop', 'Vocal']",156,713,4.7,12.99,20.99,60.0,https://www.discogs.com/release/27059247-Fletcher-You-Ruined-New-York-City-For-Me
13,27058944,The S(ex) Tapes,2023,2020,US,['Fletcher'],[3931647],Vinyl,1,['Emerald Translucent'],"['12""', '45 RPM', 'EP', 'Reissue']",['Pop'],"['Indie Pop', 'Vocal']",153,755,4.7,18.0,19.99,150.0,https://www.discogs.com/release/27058944-Fletcher-The-Sex-Tapes
14,16262527,Show Pony,2020,2020,US,['Orville Peck'],[6871068],Vinyl,1,['Purple'],"['12""', '33 ⅓ RPM', 'EP', 'Stereo']","['Folk, World, & Country']","['Country', 'Country Rock']",486,3824,4.6,13.0,20.0,28.0,https://www.discogs.com/release/16262527-Orville-Peck-Show-Pony
15,27031743,Random Access Memories (10th Anniversary Edition),2023,2013,Worldwide,['Daft Punk'],[1289],Vinyl,3,['180 gram'],"['LP', 'Album', 'Reissue', 'Stereo']","['Electronic', 'Funk / Soul', 'Pop']","['Electro', 'Disco', 'Funk', 'Synth-pop']",2124,12308,4.7,14.95,39.89,54.25,https://www.discogs.com/release/27031743-Daft-Punk-Random-Access-Memories-10th-Anniversary-Edition
16,30254198,Cowboy Carter,2024,2024,US,['Beyoncé'],[52835],Vinyl,2,"['""Beads"" (Black) Cover']","['LP', 'Album', 'Limited Edition']","['Hip Hop', 'Funk / Soul', 'Blues', 'Pop', 'Folk, World, & Country']","['Country', 'Bluegrass', 'Gospel', 'Zydeco', 'Go-Go', 'Contemporary R&B']",404,3069,4.0,24.0,32.18,41.2,https://www.discogs.com/release/30254198-Beyonc%C3%A9-Cowboy-Carter
17,27068187,Bronco,2023,2022,USA & Canada,['Orville Peck'],[6871068],Vinyl,2,['Gold'],"['LP', 'Album', 'Record Store Day', 'Limited Edition', 'Stereo']","['Rock', 'Folk, World, & Country']","['Country', 'Country Rock']",156,318,4.8,37.99,44.56,62.49,https://www.discogs.com/release/27068187-Orville-Peck-Bronco
18,16109485,Liminal Space,2020,2020,US,['Devin Sinha'],[4850266],Vinyl,1,['Standard Black'],"['12""', '33 ⅓ RPM', 'Album', 'Limited Edition']","['Rock', 'Folk, World, & Country']",['Folk Rock'],3,95,4.5,,,,https://www.discogs.com/release/16109485-Devin-Sinha-Liminal-Space
19,6938294,Pools To Bathe In,2015,2015,Europe,['The Japanese House'],[4374289],Vinyl,1,['Pastel Pink'],"['12""', 'EP', 'Limited Edition']","['Folk, World, & Country']",,279,571,4.6,10.0,25.19,59.78,https://www.discogs.com/release/6938294-The-Japanese-House-Pools-To-Bathe-In
20,11856356,Clean,2015,2015,UK,['The Japanese House'],[4374289],Vinyl,1,['Pink Marble'],"['12""']",['Pop'],['Indie Pop'],162,428,4.6,10.0,30.5,60.0,https://www.discogs.com/release/11856356-The-Japanese-House-Clean
21,9345268,Swim Against The Tide,2016,2016,UK,['The Japanese House'],[4374289],Vinyl,1,['Green'],"['12""', 'EP']","['Electronic', 'Pop']",['Abstract'],348,792,4.5,6.41,26.18,52.17,https://www.discogs.com/release/9345268-The-Japanese-House-Swim-Against-The-Tide
22,10721312,Saw You In A Dream,2017,2017,UK,['The Japanese House'],[4374289],Vinyl,1,['Blue'],"['12""', '45 RPM', 'EP']","['Electronic', 'Pop']",['Indie Pop'],420,703,4.4,10.0,25.45,49.99,https://www.discogs.com/release/10721312-The-Japanese-House-Saw-You-In-A-Dream
23,13294204,Good At Falling,2019,2019,"USA, Canada & UK",['The Japanese House'],[4374289],Vinyl,2,['White'],"['LP', '45 RPM', 'Album']","['Electronic', 'Pop']","['Indie Pop', 'Synth-pop']",501,1196,4.2,17.6,28.14,54.29,https://www.discogs.com/release/13294204-The-Japanese-House-Good-At-Falling
24,16101241,Chewing Cotton Wool,2020,2020,UK,['The Japanese House'],[4374289],Vinyl,1,['Cream'],"['12""', '45 RPM', 'EP', 'Limited Edition', 'Stereo']",['Pop'],['Indie Pop'],383,691,4.5,25.19,42.84,161.28,https://www.discogs.com/release/16101241-The-Japanese-House-Chewing-Cotton-Wool
25,27573087,In The End It Always Does,2023,2023,US,['The Japanese House'],[4374289],Vinyl,1,['Pink (Pastel)'],"['LP', 'Limited Edition', 'Stereo']",['Pop'],['Indie Pop'],154,259,4.6,25.0,43.8,74.99,https://www.discogs.com/release/27573087-The-Japanese-House-In-The-End-It-Always-Does
26,30449915,ITEIAD Sessions,2024,2024,"UK, Europe & US",['The Japanese House'],[4374289],Vinyl,1,['White'],"['12""', 'EP', 'Record Store Day', 'Limited Edition']",['Pop'],['Indie Pop'],312,570,4.8,32.99,123.08,153.85,https://www.discogs.com/release/30449915-The-Japanese-House-ITEIAD-Sessions
27,30233678,One Of Your Girls,2024,2024,US,['Troye Sivan'],[4402206],Vinyl,1,['Standard Black'],"['7""', '45 RPM', 'Single', 'Limited Edition', 'Picture Disc']","['Electronic', 'Pop']",['Dance-pop'],229,660,4.7,24.99,43.59,76.08,https://www.discogs.com/release/30233678-Troye-Sivan-One-Of-Your-Girls
28,26913440,That! Feels Good!,2023,2023,UK & Europe,['Jessie Ware'],[1885206],Vinyl,1,['Standard Black'],"['LP', 'Album']","['Electronic', 'Pop']","['Disco', 'Dance-pop']",325,1933,4.7,23.06,34.6,49.99,https://www.discogs.com/release/26913440-Jessie-Ware-That-Feels-Good
29,2295749,Paradise By The Dashboard Light,1977,1977,US,['Meat Loaf'],[254259],Vinyl,1,['Standard Black'],"['7""', '45 RPM', 'Single']",['Rock'],['Classic Rock'],41,358,4.0,0.5,2.99,10.0,https://www.discogs.com/release/2295749-Meat-Loaf-Paradise-By-The-Dashboard-Light
30,26846054,The King/Cypress ,2023,2023,US,['Sarah Kinsley'],[7073467],Vinyl,1,['Standard Black'],"['LP', 'Record Store Day', 'Compilation']",['Pop'],['Indie Pop'],147,338,4.6,19.88,28.1,29.99,https://www.discogs.com/release/26846054-Sarah-Kinsley-The-KingCypress-
31,5761197,Love Letter - From West Coast To Mysterious East = ラヴ・レター,1975,1975,Japan,['Lily'],[983005],Vinyl,1,['Standard Black'],"['LP', 'Album']",['Funk / Soul'],['Funk'],290,184,4.8,6.19,14.75,43.47,https://www.discogs.com/release/5761197-Lily-6-%E3%82%8A%E3%82%8A%E3%82%A3-Love-Letter-From-West-Coast-To-Mysterious-East-%E3%83%A9%E3%83%B4%E3%83%AC%E3%82%BF%E3%83%BC
32,24869834,Shin Megami Tensei III Nocturne + Maniax Pack Original Soundtracks,2022,2022,USA & Europe,"['Tsukasa Masuko', 'Toshiko Tasaki', 'Shoji Meguro', 'Kenichi Tsuchiya']","[2680041, 359315, 359316, 359317]",Vinyl,4,"['White Marble w/ Black Splatter', 'Red Marble w/ Black Splatter', 'Black Marble w/ White Splatter', 'Grey Marble w/ Black Splatter']",['LP'],"['Electronic', 'Rock', 'Stage & Screen']","['J-Rock', 'Soundtrack', 'Video Game Music']",73,415,4.8,54.99,70.0,75.0,https://www.discogs.com/release/24869834-Shoji-Meguro-Kenichi-Tsuchiya-Toshiko-Tasaki-Tsukasa-Masuko-Shin-Megami-Tensei-III-Nocturne-Maniax-P
33,5126669,Timely!! = タイムリー,1983,1983,Japan,['Anri'],[1339554],Vinyl,1,['Standard Black'],"['LP', 'Album', 'Stereo']","['Electronic', 'Funk / Soul', 'Pop']","['Kayōkyoku', 'Synth-pop', 'Boogie', 'Disco', 'Ballad', 'City Pop']",4905,2914,4.6,29.31,54.67,83.7,https://www.discogs.com/release/5126669-Anri-2-%E6%9D%8F%E9%87%8C-Timely-%E3%82%BF%E3%82%A4%E3%83%A0%E3%83%AA%E3%83%BC
34,27472593,Vampire,2023,2023,USA & Europe,['Olivia Rodrigo'],[7592689],Vinyl,1,['Red'],"['7""', '45 RPM', 'Single', 'Limited Edition']","['Rock', 'Pop']",,1527,4030,4.5,30.0,42.3,53.26,https://www.discogs.com/release/27472593-Olivia-Rodrigo-Vampire
35,28244848,Guts,2023,2023,US,['Olivia Rodrigo'],[7592689],Vinyl,1,['Blue'],"['LP', 'Album', 'Limited Edition']","['Rock', 'Pop']","['Power Pop', 'Pop Rock', 'Ballad', 'Alt-Pop', 'Acoustic']",202,1137,4.6,22.93,27.49,50.0,https://www.discogs.com/release/28244848-Olivia-Rodrigo-Guts
36,28913656,Bad Idea Right?,2023,2023,USA & Europe,['Olivia Rodrigo'],[7592689],Vinyl,1,['Red'],"['7""', '45 RPM', 'Single', 'Limited Edition']","['Rock', 'Pop']","['Power Pop', 'Garage Rock', 'Pop Rock']",821,2708,4.7,25.0,31.24,40.0,https://www.discogs.com/release/28913656-Olivia-Rodrigo-Bad-Idea-Right
37,13336911,Last Train Home,1987,1987,US,['Pat Metheny Group'],[38210],Vinyl,1,['Standard Black'],"['7""', '45 RPM', 'Single']",['Jazz'],['Contemporary Jazz'],47,6,0.0,14.09,20.0,22.99,https://www.discogs.com/release/13336911-Pat-Metheny-Group-Last-Train-Home
38,21622027,Sour,2021,2021,US,['Olivia Rodrigo'],[7592689],Vinyl,1,"['Blue Transparent, Alternative Artwork, MPO Press']","['LP', 'Album', 'Limited Edition']","['Rock', 'Pop']","['Power Pop', 'Pop Punk', 'Acoustic', 'Ballad']",1003,7768,4.5,14.99,21.99,30.0,https://www.discogs.com/release/21622027-Olivia-Rodrigo-Sour
39,22949921,Singles 4 You,2021,2021,US,['Olivia Rodrigo'],[7592689],Vinyl,1,['Aqua '],"['12""', '33 ⅓ RPM', 'Single', 'Limited Edition']",['Pop'],['Indie Pop'],1206,2873,4.4,20.0,35.0,48.91,https://www.discogs.com/release/22949921-Olivia-Rodrigo-Singles-4-You
40,28990315,Guts: The Secret Tracks,2023,2023,Worldwide,['Olivia Rodrigo'],[7592689],Vinyl,1,['Purple [Deep Purple]'],"['12""', '33 ⅓ RPM', 'Single Sided', 'EP', 'Record Store Day', 'Etched', 'Limited Edition']","['Rock', 'Pop']","['Indie Pop', 'Pop Rock']",4144,5459,4.6,60.0,119.57,169.99,https://www.discogs.com/release/28990315-Olivia-Rodrigo-Guts-The-Secret-Tracks
41,28831528,Can't Catch Me Now,2023,2023,USA & Europe,['Olivia Rodrigo'],[7592689],Vinyl,1,['Standard Black'],"['7""', '45 RPM', 'Single Sided', 'Single', 'Etched', 'Limited Edition']","['Pop', 'Stage & Screen']",['Soundtrack'],1374,3604,4.8,32.04,46.68,70.6,https://www.discogs.com/release/28831528-Olivia-Rodrigo-Cant-Catch-Me-Now
42,30392138,Stick Season / Lacy,2024,2024,Worldwide,"['Olivia Rodrigo', 'Noah Kahan']","[7592689, 5951449]",Vinyl,1,['Mauve'],"['7""', '33 ⅓ RPM', 'Record Store Day', 'Single']",['Pop'],"['Alt-Pop', 'Folk']",3536,12832,4.5,,,,https://www.discogs.com/release/30392138-Olivia-Rodrigo-Noah-Kahan-Stick-Season-Lacy
43,12327666,Live at Omeara,2018,2018,UK,['Freya Ridings'],[6564104],Vinyl,1,['No barcode'],"['LP', 'Album', 'Limited Edition', 'Stereo']",['Pop'],,40,107,4.5,16.0,26.62,64.09,https://www.discogs.com/release/12327666-Freya-Ridings-Live-at-Omeara
44,28473487,Single Soon,2023,2023,USA & Europe,['Selena Gomez'],[1642600],Vinyl,1,['White'],"['7""', '45 RPM', 'Single']","['Electronic', 'Pop']","['Dance-pop', 'Synthwave']",128,1001,4.9,10.0,21.72,25.63,https://www.discogs.com/release/28473487-Selena-Gomez-Single-Soon
45,28935385,Talk Too Much / Pretty Girls,2023,2023,US,['Reneé Rapp'],[12451969],Vinyl,1,['Red'],"['7""', '45 RPM', 'Single', 'Limited Edition']",['Pop'],,422,1070,4.8,14.0,35.0,40.0,https://www.discogs.com/release/28935385-Rene%C3%A9-Rapp-Talk-Too-Much-Pretty-Girls
46,29100910,Snow Angel,2023,2023,US,['Reneé Rapp'],[12451969],Vinyl,1,"['Blue [Light Blue Translucent], Alternate Artwork']","['LP', 'Album', 'Limited Edition']",['Pop'],['Indie Pop'],224,1954,4.7,21.0,26.99,49.99,https://www.discogs.com/release/29100910-Rene%C3%A9-Rapp-Snow-Angel
47,28015215,Snow Angel,2023,2023,USA & Europe,['Reneé Rapp'],[12451969],Vinyl,1,['Standard Black'],"['7""', '45 RPM', 'Single']",['Pop'],['Ballad'],424,1015,4.9,17.08,25.3,35.0,https://www.discogs.com/release/28015215-Rene%C3%A9-Rapp-Snow-Angel
48,22983470,Devotion,2022,2012,Worldwide,['Jessie Ware'],[1885206],Vinyl,2,"['Gatefold, 10th Anniversary Deluxe Edition']","['LP', 'Album', 'Record Store Day', 'Limited Edition', 'Reissue']",['Pop'],['Indie Pop'],219,1623,4.5,10.0,14.99,46.62,https://www.discogs.com/release/22983470-Jessie-Ware-Devotion
49,30452264,Feather,2024,2023,US,['Sabrina Carpenter'],[4378284],Vinyl,1,['Baby Pink'],"['7""', '45 RPM', 'Record Store Day', 'Single', 'Limited Edition', 'Reissue']",['Pop'],"['Dance-pop', 'Disco']",1073,618,4.7,18.93,136.18,199.99,https://www.discogs.com/release/30452264-Sabrina-Carpenter-Feather
50,30455813,The Rise And Fall Of A Midwest Princess,2024,2023,US,['Chappell Roan'],[6360106],Vinyl,2,['Pink'],['LP'],['Pop'],['Alt-Pop'],1891,1708,4.7,99.0,114.99,136.03,https://www.discogs.com/release/30455813-Chappell-Roan-The-Rise-And-Fall-Of-A-Midwest-Princess
51,27327561,Stick Season,2023,2022,US,['Noah Kahan'],[5951449],Vinyl,2,['Chestnut Opaque'],"['LP', 'Album']","['Rock', 'Pop', 'Folk, World, & Country']",,1043,1317,5.0,51.99,137.35,429.0,https://www.discogs.com/release/27327561-Noah-Kahan-Stick-Season
52,27158049,Love You Forever,2023,2023,US,['Vérité'],[4189597],Vinyl,1,['Clear w/ Red Splatter'],"['LP', 'Album', 'Limited Edition', 'Numbered']",['Pop'],"['Ballad', 'Indie Pop']",57,103,5.0,,,,https://www.discogs.com/release/27158049-V%C3%A9rit%C3%A9-Love-You-Forever
53,14314490,New Skin,2019,2019,US,['Vérité'],[4189597],Vinyl,1,['Baby Pink'],"['LP', 'Album', 'Limited Edition']",['Pop'],['Indie Pop'],84,307,4.8,12.95,21.81,34.99,https://www.discogs.com/release/14314490-V%C3%A9rit%C3%A9-New-Skin
